id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	23	56	83	27	0	60	33	33
3	0	5	32	153	54	2	148	92	27
10	0	123	311	327	16	0	204	188	188
4	0	6	44	607	64	26	601	511	38
8	0	118	227	884	9	2	766	755	109
23	0	305	1085	1171	86	0	866	780	780
32	0	374	1577	1583	6	0	1209	1203	1203
14	0	207	481	1839	72	12	1632	1548	274
46	0	723	2211	2213	2	0	1490	1488	1488
49	0	747	2335	2349	14	0	1602	1588	1588
18	0	234	884	2596	34	17	2362	2311	650
21	0	241	939	2618	113	4	2377	2260	698
22	0	261	1035	2690	68	10	2429	2351	774
30	0	360	1448	2932	79	10	2572	2483	1088
31	0	372	1498	3037	115	12	2665	2538	1126
33	0	472	1682	3088	42	5	2616	2569	1210
2	0	3	22	3291	61	53	3288	3174	19
38	0	578	1839	3353	36	10	2775	2729	1261
50	0	765	2349	3652	86	19	2887	2782	1584
16	0	220	607	3670	218	7	3450	3225	387
26	0	339	1291	3935	95	17	3596	3484	952
28	0	348	1317	3999	198	15	3651	3438	969
11	0	144	340	4011	65	38	3867	3764	196
6	0	30	96	4075	151	67	4045	3827	66
34	0	479	1706	4161	125	27	3682	3530	1227
40	0	597	1880	4445	78	38	3848	3732	1283
44	0	679	2114	4568	93	69	3889	3727	1435
29	0	350	1433	4792	50	24	4442	4368	1083
12	0	165	343	4797	201	30	4632	4401	178
36	0	494	1805	4847	158	37	4353	4158	1311
37	0	511	1819	4861	88	30	4350	4232	1308
15	0	208	550	4894	206	52	4686	4428	342
42	0	634	2065	4907	98	13	4273	4162	1431
47	0	741	2213	4924	55	20	4183	4108	1472
19	0	235	886	5031	139	48	4796	4609	651
24	0	311	1171	5072	90	27	4761	4644	860
27	0	341	1311	5217	164	41	4876	4671	970
39	0	584	1855	5245	97	31	4661	4533	1271
41	0	615	1947	5322	262	35	4707	4410	1332
48	0	745	2225	5463	256	41	4718	4421	1480
7	0	91	208	5531	253	30	5440	5157	117
25	0	321	1265	5778	221	82	5457	5154	944
35	0	488	1786	5829	215	82	5341	5044	1298
1	0	0	0	5949	314	132	5949	5503	0
13	0	178	400	5956	265	50	5778	5463	222
17	0	231	860	5984	160	59	5753	5534	629
9	0	121	230	6017	181	46	5896	5669	109
45	0	714	2182	6140	188	158	5426	5080	1468
20	0	240	897	6159	348	119	5919	5452	657
43	0	667	2098	6332	294	105	5665	5266	1431
0	0	0	0	6332	22	0	6332	6310	0
