id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	77	77	446	54	0	369	315	0
18	0	518	518	531	8	0	13	5	0
47	0	967	967	984	7	0	17	10	0
36	0	811	811	1140	13	0	329	316	0
23	0	589	589	1367	26	0	778	752	0
10	0	265	265	1527	42	11	1262	1209	0
42	0	885	885	1772	30	4	887	853	0
40	0	848	852	1794	37	9	946	900	4
8	0	237	237	2001	58	32	1764	1674	0
30	0	705	705	2219	48	26	1514	1440	0
9	0	251	251	2221	53	7	1970	1910	0
20	0	554	554	2263	42	15	1709	1652	0
41	0	873	873	2301	43	0	1428	1385	0
49	0	1021	1021	2362	41	3	1341	1297	0
43	0	888	888	2470	52	0	1582	1530	0
12	0	406	406	2508	57	4	2102	2041	0
6	0	222	222	2523	72	22	2301	2207	0
2	0	66	66	2568	97	51	2502	2354	0
5	0	119	119	2594	89	14	2475	2372	0
46	0	964	964	2651	48	5	1687	1634	0
37	0	829	829	2899	60	36	2070	1974	0
28	0	673	673	2970	63	70	2297	2164	0
26	0	646	646	3053	65	7	2407	2335	0
32	0	728	728	3128	71	37	2400	2292	0
44	0	894	894	3163	64	8	2269	2197	0
50	0	1024	1024	3287	78	0	2263	2185	0
38	0	845	845	3359	80	8	2514	2426	0
1	0	0	0	3450	163	50	3450	3237	0
33	0	733	738	3840	95	56	3107	2956	5
34	0	788	788	3941	99	42	3153	3012	0
14	0	459	459	3975	120	15	3516	3381	0
17	0	504	504	4023	118	30	3519	3371	0
31	0	708	708	4062	104	18	3354	3232	0
24	0	610	610	4173	122	26	3563	3415	0
19	0	534	534	4574	147	4	4040	3889	0
45	0	935	935	4590	131	12	3655	3512	0
29	0	689	689	4626	140	36	3937	3761	0
25	0	622	622	4810	158	109	4188	3921	0
7	0	235	235	4844	199	13	4609	4397	0
15	0	481	481	4938	176	71	4457	4210	0
4	0	117	117	5141	214	102	5024	4708	0
21	0	556	556	5155	209	88	4599	4302	0
35	0	808	808	5247	198	95	4439	4146	0
22	0	566	566	5393	245	33	4827	4549	0
13	0	456	456	5406	225	91	4950	4634	0
48	0	972	977	5467	242	53	4495	4200	5
39	0	847	848	5587	262	120	4740	4358	1
11	0	321	321	5664	297	30	5343	5016	0
27	0	665	665	5890	434	68	5225	4723	0
16	0	495	495	6038	470	200	5543	4873	0
0	0	0	0	6038	72	0	6038	5966	0
