id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	66	102	342	97	51	276	128	36
9	0	251	282	413	53	7	162	102	31
8	0	237	259	445	58	32	208	118	22
18	0	518	520	528	8	0	10	2	2
12	0	406	445	556	57	4	150	89	39
23	0	589	597	623	26	0	34	8	8
20	0	554	557	692	42	15	138	81	3
36	0	811	818	831	13	0	20	7	7
42	0	885	916	964	30	4	79	45	31
47	0	967	973	980	7	0	13	6	6
40	0	848	858	1065	37	9	217	171	10
30	0	705	721	1202	48	26	497	423	16
49	0	1021	1202	1273	41	3	252	208	181
28	0	673	724	1373	63	70	700	567	51
32	0	728	1231	1540	71	37	812	704	503
10	0	265	1466	1547	42	11	1282	1229	1201
37	0	829	837	1586	60	36	757	661	8
35	0	808	816	1878	198	95	1070	777	8
41	0	873	2015	2058	43	0	1185	1142	1142
4	0	117	217	2072	214	102	1955	1639	100
46	0	964	2118	2173	48	5	1209	1156	1154
24	0	610	1890	2220	122	26	1610	1462	1280
1	0	0	0	2268	163	50	2268	2055	0
33	0	733	779	2459	95	56	1726	1575	46
34	0	788	801	2509	99	42	1721	1580	13
44	0	894	903	2576	64	8	1682	1610	9
6	0	222	2600	2752	72	22	2530	2436	2378
43	0	888	2789	2841	52	0	1953	1901	1901
3	0	77	2841	2895	54	0	2818	2764	2764
25	0	622	649	2976	158	109	2354	2087	27
15	0	481	505	3180	176	71	2699	2452	24
26	0	646	3223	3359	65	7	2713	2641	2577
21	0	556	2317	3583	209	88	3027	2730	1761
29	0	689	746	3596	140	36	2907	2731	57
38	0	845	3643	3787	80	8	2942	2854	2798
39	0	847	856	4035	262	120	3188	2806	9
5	0	119	122	4334	89	14	4215	4112	3
16	0	495	1373	4345	470	200	3850	3180	878
14	0	459	2268	4439	120	15	3980	3845	1809
13	0	456	2072	4585	225	91	4129	3813	1616
45	0	935	1158	4612	131	12	3677	3534	223
50	0	1024	4612	4690	78	0	3666	3588	3588
48	0	972	2988	4863	242	53	3891	3596	2016
17	0	504	558	4952	118	30	4448	4300	54
31	0	708	4769	5061	104	18	4353	4231	4061
19	0	534	1406	5184	147	4	4650	4499	872
7	0	235	413	5371	199	13	5136	4924	178
22	0	566	590	5665	245	33	5099	4821	24
27	0	665	703	5930	434	68	5265	4763	38
11	0	321	342	5990	297	30	5669	5342	21
0	0	0	0	5990	24	0	5990	5966	0
