id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	23	40	194	27	0	171	144	17
8	0	118	146	241	9	2	123	112	28
10	0	123	164	364	16	0	241	225	41
32	0	374	505	663	6	0	289	283	131
3	0	5	10	706	54	2	701	645	5
46	0	723	921	923	2	0	200	198	198
2	0	3	5	1323	61	53	1320	1206	2
49	0	747	954	1376	14	0	629	615	207
4	0	6	20	1490	64	26	1484	1394	14
18	0	234	291	1513	34	17	1279	1228	57
38	0	578	731	2124	36	10	1546	1500	153
33	0	472	602	2171	42	5	1699	1652	130
29	0	350	468	2552	50	24	2202	2128	118
11	0	144	189	2554	65	38	2410	2307	45
14	0	207	241	2657	72	12	2450	2366	34
22	0	261	343	2694	68	10	2433	2355	82
47	0	741	938	3148	55	20	2407	2332	197
30	0	360	483	3371	79	10	3011	2922	123
23	0	305	388	3392	86	0	3087	3001	83
40	0	597	756	3646	78	38	3049	2933	159
24	0	311	403	3711	90	27	3400	3283	92
26	0	339	443	3763	95	17	3424	3312	104
50	0	765	974	3915	86	19	3150	3045	209
37	0	511	663	3966	88	30	3455	3337	152
21	0	241	318	3980	113	4	3739	3622	77
44	0	679	866	4125	93	69	3446	3284	187
39	0	584	741	4254	97	31	3670	3542	157
42	0	634	811	4286	98	13	3652	3541	177
31	0	372	495	4303	115	12	3931	3804	123
6	0	30	50	4392	151	67	4362	4144	20
34	0	479	617	4666	125	27	4187	4035	138
19	0	235	298	4785	139	48	4550	4363	63
36	0	494	637	5192	158	37	4698	4503	143
17	0	231	281	5213	160	59	4982	4763	50
27	0	341	448	5242	164	41	4901	4696	107
9	0	121	149	5300	181	46	5179	4952	28
12	0	165	210	5527	201	30	5362	5131	45
15	0	208	251	5580	206	52	5372	5114	43
28	0	348	458	5622	198	15	5274	5061	110
16	0	220	266	5735	218	7	5515	5290	46
35	0	488	627	5895	215	82	5407	5110	139
45	0	714	906	5896	188	158	5182	4836	192
25	0	321	418	5907	221	82	5586	5283	97
7	0	91	106	5965	253	30	5874	5591	15
13	0	178	221	6159	265	50	5981	5666	43
48	0	745	948	6175	256	41	5430	5133	203
41	0	615	781	6197	262	35	5582	5285	166
1	0	0	0	6213	314	132	6213	5767	0
43	0	667	846	6280	294	105	5613	5214	179
20	0	240	313	6340	348	119	6100	5633	73
0	0	0	0	6340	30	0	6340	6310	0
