id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	63	95	140	12	22	77	43	32
7	0	168	169	269	100	0	101	1	1
8	0	176	269	278	9	0	102	93	93
11	0	198	391	407	16	0	209	193	193
32	0	483	560	582	22	0	99	77	77
42	0	637	995	996	1	0	359	358	358
45	0	697	1079	1670	20	1	973	952	382
9	0	183	1864	1901	37	0	1718	1681	1681
14	0	221	1901	1910	9	0	1689	1680	1680
15	0	230	1959	1965	6	0	1735	1729	1729
1	0	0	0	2174	111	12	2174	2051	0
24	0	416	656	2395	155	26	1979	1798	240
35	0	535	2095	2502	20	4	1967	1943	1560
38	0	580	901	2635	94	27	2055	1934	321
47	0	704	771	2998	72	3	2294	2219	67
37	0	564	872	3240	106	12	2676	2558	308
27	0	446	1729	3315	72	33	2869	2764	1283
2	0	13	65	3411	126	10	3398	3262	52
18	0	281	2026	3449	81	11	3168	3076	1745
43	0	642	736	3485	71	3	2843	2769	94
31	0	472	1965	3499	69	16	3027	2942	1493
6	0	139	159	3543	108	45	3404	3251	20
39	0	591	1084	3660	42	10	3069	3017	493
49	0	756	798	3806	100	3	3050	2947	42
29	0	450	1910	3882	130	33	3432	3269	1460
17	0	259	278	3999	114	4	3740	3622	19
48	0	749	1063	4234	154	30	3485	3301	314
50	0	778	845	4243	125	54	3465	3286	67
19	0	297	384	4374	124	34	4077	3919	87
34	0	534	2039	4566	196	88	4032	3748	1505
10	0	196	326	4621	96	18	4425	4311	130
13	0	213	1670	4666	121	8	4453	4324	1457
40	0	600	903	4758	178	15	4158	3965	303
33	0	517	1967	4880	151	44	4363	4168	1450
20	0	337	407	5053	245	61	4716	4410	70
23	0	391	652	5185	137	7	4794	4650	261
26	0	433	1408	5290	132	7	4857	4718	975
30	0	470	1951	5410	151	141	4940	4648	1481
4	0	102	108	5751	197	28	5649	5424	6
21	0	338	433	5767	189	53	5429	5187	95
22	0	380	506	6006	136	16	5626	5474	126
16	0	243	2007	6229	275	71	5986	5640	1764
28	0	448	1732	6240	112	30	5792	5650	1284
5	0	118	140	6338	187	55	6220	5978	22
25	0	418	1588	6448	454	85	6030	5491	1170
46	0	701	1478	6554	124	7	5853	5722	777
41	0	620	947	6640	372	48	6020	5600	327
44	0	696	996	6656	266	60	5960	5634	300
12	0	207	1123	6702	309	6	6495	6180	916
36	0	550	582	6832	672	138	6282	5472	32
0	0	0	0	6832	26	0	6832	6806	0
