id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	100	100	114	10	4	14	0	0
1	0	0	0	116	32	77	116	7	0
3	0	231	231	277	16	30	46	0	0
4	0	328	328	345	3	14	17	0	0
5	0	366	366	372	5	1	6	0	0
6	0	477	477	481	4	0	4	0	0
7	0	509	509	522	13	0	13	0	0
8	0	516	522	548	16	10	32	6	6
9	0	555	555	565	10	0	10	0	0
10	0	834	834	846	11	1	12	0	0
11	0	1003	1003	1064	28	33	61	0	0
13	0	1110	1110	1122	12	0	12	0	0
12	0	1101	1101	1130	6	14	29	9	0
14	0	1216	1216	1217	1	0	1	0	0
15	0	1232	1232	1246	14	0	14	0	0
16	0	1253	1253	1256	3	0	3	0	0
17	0	1281	1281	1290	9	0	9	0	0
18	0	1309	1309	1317	8	0	8	0	0
19	0	1338	1338	1340	2	0	2	0	0
20	0	1436	1436	1454	5	13	18	0	0
0	0	0	0	1454	1246	0	1454	208	0
