id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	7	7	0	7	0	0
2	0	79	79	112	33	0	33	0	0
3	0	272	272	275	3	0	3	0	0
4	0	328	328	336	8	0	8	0	0
5	0	348	348	353	5	0	5	0	0
6	0	357	357	374	10	3	17	4	0
7	0	366	366	384	9	9	18	0	0
8	0	411	411	413	2	0	2	0	0
9	0	418	418	420	2	0	2	0	0
10	0	734	734	751	17	0	17	0	0
11	0	873	873	885	4	8	12	0	0
12	0	886	886	917	23	8	31	0	0
13	0	921	921	937	11	5	16	0	0
15	0	951	951	955	4	0	4	0	0
14	0	948	948	962	6	4	14	4	0
16	0	1021	1021	1036	15	0	15	0	0
17	0	1042	1042	1048	6	0	6	0	0
18	0	1103	1103	1158	9	46	55	0	0
19	0	1227	1227	1270	6	37	43	0	0
20	0	1326	1326	1357	9	22	31	0	0
0	0	0	0	1357	1168	0	1357	189	0
