id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	34	15	19	34	0	0
2	0	198	198	224	19	7	26	0	0
4	0	262	262	287	17	6	25	2	0
3	0	225	225	351	36	86	126	4	0
5	0	302	302	380	18	53	78	7	0
6	0	332	332	385	14	33	53	6	0
7	0	494	494	497	3	0	3	0	0
8	0	520	520	567	18	29	47	0	0
9	0	690	690	725	20	15	35	0	0
10	0	830	830	850	11	9	20	0	0
11	0	880	880	886	6	0	6	0	0
12	0	964	964	972	8	0	8	0	0
13	0	966	972	992	14	6	26	6	6
14	0	1031	1031	1044	7	6	13	0	0
15	0	1056	1056	1066	6	4	10	0	0
16	0	1101	1101	1160	3	56	59	0	0
17	0	1170	1170	1187	5	12	17	0	0
18	0	1200	1200	1231	20	11	31	0	0
20	0	1480	1480	1491	11	0	11	0	0
19	0	1463	1463	1502	14	23	39	2	0
0	0	0	0	1502	1237	0	1502	265	0
