id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	44	44	88	7	37	44	0	0
1	0	0	0	214	31	173	214	10	0
3	0	42	42	243	43	147	201	11	0
5	0	273	273	326	13	40	53	0	0
8	0	367	367	385	11	6	18	1	0
7	0	358	358	427	23	28	69	18	0
6	0	327	327	430	52	18	103	33	0
2	0	4	4	495	94	364	491	33	0
9	0	443	443	612	32	133	169	4	0
11	0	582	582	686	14	90	104	0	0
12	0	675	675	786	22	86	111	3	0
10	0	543	543	957	53	354	414	7	0
15	0	1010	1010	1037	23	4	27	0	0
13	0	913	913	1066	42	94	153	17	0
14	0	958	958	1153	42	146	195	7	0
18	0	1256	1256	1316	15	45	60	0	0
16	0	1158	1158	1433	31	230	275	14	0
17	0	1163	1163	1633	73	393	470	4	0
19	0	1688	1688	1703	15	0	15	0	0
20	0	1774	1774	1825	10	41	51	0	0
21	0	1965	1965	2056	32	59	91	0	0
23	0	2279	2279	2337	20	38	58	0	0
25	0	2366	2366	2524	9	148	158	1	0
28	0	2529	2529	2612	14	67	83	2	0
22	0	2268	2268	2620	28	290	352	34	0
27	0	2517	2517	2645	27	94	128	7	0
29	0	2595	2595	2695	16	84	100	0	0
31	0	2708	2708	2729	12	9	21	0	0
24	0	2365	2365	2867	61	418	502	23	0
26	0	2448	2448	2950	104	356	502	42	0
33	0	3057	3057	3188	7	124	131	0	0
30	0	2682	2682	3199	48	457	517	12	0
34	0	3163	3163	3215	7	45	52	0	0
32	0	3031	3031	3288	49	196	257	12	0
37	0	3409	3409	3482	23	37	73	13	0
38	0	3443	3443	3491	11	37	48	0	0
36	0	3394	3394	3553	29	117	159	13	0
35	0	3224	3224	3654	86	316	430	28	0
40	0	3698	3698	3843	16	124	145	5	0
41	0	3803	3803	3847	8	36	44	0	0
42	0	3885	3885	3938	10	43	53	0	0
39	0	3585	3585	4124	65	469	539	5	0
44	0	4131	4131	4140	7	0	9	2	0
43	0	4077	4077	4146	7	62	69	0	0
45	0	4221	4221	4360	30	107	139	2	0
46	0	4274	4274	4617	63	272	343	8	0
47	0	4400	4400	4656	33	223	256	0	0
49	0	4777	4777	5069	26	266	292	0	0
48	0	4524	4524	5363	84	753	839	2	0
50	0	5342	5342	5810	46	422	468	0	0
0	0	0	0	5810	4186	0	5810	1624	0
