id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	134	134	266	23	94	132	15	0
4	0	255	258	330	14	45	75	16	3
1	0	0	0	383	82	263	383	38	0
7	0	514	523	680	48	82	166	36	9
8	0	670	674	705	16	0	35	19	4
5	0	360	360	769	70	292	409	47	0
2	0	63	63	834	138	523	771	110	0
9	0	758	758	866	8	100	108	0	0
12	0	974	974	1025	10	39	51	2	0
10	0	821	821	1086	34	213	265	18	0
15	0	1073	1081	1096	9	6	23	8	8
6	0	417	417	1104	114	497	687	76	0
13	0	1054	1054	1186	16	92	132	24	0
17	0	1169	1177	1202	2	22	33	9	8
11	0	867	867	1318	90	294	451	67	0
16	0	1097	1097	1371	62	141	274	71	0
18	0	1188	1191	1378	15	137	190	38	3
19	0	1210	1216	1383	33	78	173	62	6
14	0	1071	1075	1422	39	239	351	73	4
21	0	1518	1518	1559	16	18	41	7	0
23	0	1572	1572	1574	2	0	2	0	0
24	0	1721	1721	1722	1	0	1	0	0
20	0	1286	1289	1798	101	334	512	77	3
22	0	1567	1567	1865	33	256	298	9	0
25	0	1902	1902	1931	12	17	29	0	0
26	0	1916	1916	2000	17	62	84	5	0
27	0	2044	2044	2061	12	5	17	0	0
28	0	2239	2239	2241	2	0	2	0	0
30	0	2330	2330	2380	20	27	50	3	0
31	0	2390	2390	2565	17	153	175	5	0
32	0	2601	2601	2619	5	13	18	0	0
29	0	2310	2310	2846	147	362	536	27	0
35	0	3024	3024	3129	24	78	105	3	0
33	0	2612	2612	3241	78	535	629	16	0
34	0	2829	2833	3272	47	376	443	20	4
39	0	3363	3364	3365	1	0	2	1	1
36	0	3098	3098	3414	75	200	316	41	0
38	0	3270	3277	3437	55	92	167	20	7
37	0	3156	3161	3658	81	378	502	43	5
41	0	3859	3859	3989	14	115	130	1	0
40	0	3814	3814	4013	37	156	199	6	0
42	0	4271	4271	4505	61	173	234	0	0
43	0	4633	4633	4734	12	89	101	0	0
45	0	4753	4753	4897	10	130	144	4	0
44	0	4693	4693	4938	32	211	245	2	0
49	0	5005	5007	5012	5	0	7	2	2
46	0	4874	4874	5030	23	123	156	10	0
47	0	4890	4890	5097	24	176	207	7	0
48	0	4984	4986	5147	45	106	163	12	2
50	0	5166	5166	5175	7	2	9	0	0
0	0	0	0	5175	3336	0	5175	1839	0
