id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	59	59	153	8	86	94	0	0
1	0	0	0	309	55	254	309	0	0
3	0	466	466	695	52	177	229	0	0
7	0	799	801	841	9	27	42	6	2
5	0	780	780	910	48	70	130	12	0
6	0	790	790	963	16	140	173	17	0
4	0	760	760	1038	25	253	278	0	0
8	0	922	922	1252	32	285	330	13	0
10	0	1150	1150	1487	82	244	337	11	0
9	0	977	986	1490	76	407	513	30	9
15	0	1591	1591	1622	2	29	31	0	0
13	0	1440	1451	1643	34	130	203	39	11
16	0	1607	1607	1647	10	26	40	4	0
11	0	1252	1252	1737	83	357	485	45	0
14	0	1501	1501	1798	66	207	297	24	0
12	0	1439	1449	1806	35	305	367	27	10
18	0	1915	1915	1958	43	0	43	0	0
17	0	1768	1768	1967	40	131	199	28	0
19	0	2039	2039	2071	10	22	32	0	0
22	0	2168	2168	2266	12	65	98	21	0
23	0	2235	2266	2412	33	108	177	36	31
21	0	2116	2116	2434	84	234	318	0	0
20	0	2086	2086	2530	35	399	444	10	0
24	0	2571	2571	2612	8	33	41	0	0
25	0	3012	3012	3155	34	109	143	0	0
26	0	3188	3188	3210	6	16	22	0	0
28	0	3413	3413	3479	5	61	66	0	0
27	0	3388	3388	3595	28	179	207	0	0
29	0	3719	3719	3804	17	61	85	7	0
33	0	3942	3942	3966	12	12	24	0	0
32	0	3900	3900	4001	17	64	101	20	0
31	0	3793	3793	4002	36	158	209	15	0
30	0	3735	3735	4039	62	219	304	23	0
34	0	4032	4039	4111	22	50	79	7	7
36	0	4148	4150	4196	29	17	48	2	2
38	0	4220	4220	4241	11	10	21	0	0
37	0	4210	4210	4250	9	31	40	0	0
39	0	4599	4599	4613	7	6	14	1	0
35	0	4131	4131	4621	58	432	490	0	0
41	0	4806	4806	4837	3	28	31	0	0
40	0	4645	4645	4938	56	214	293	23	0
42	0	4811	4816	4981	48	111	170	11	5
43	0	4866	4866	4991	27	81	125	17	0
45	0	5145	5145	5304	33	126	159	0	0
46	0	5424	5428	5766	26	311	342	5	4
44	0	5029	5029	5835	87	687	806	32	0
49	0	5870	5870	6008	21	106	138	11	0
50	0	5875	5896	6013	12	63	138	63	21
47	0	5529	5529	6128	116	431	599	52	0
48	0	5684	5684	6394	104	597	710	9	0
0	0	0	0	6394	4610	0	6394	1784	0
